group,x,y,z
20cm,-0.4,0.1,0.2
20cm,-0.35,0.151333333,0.2
20cm,-0.3,0.521,0.2
20cm,-0.25,0.764333333,0.2
20cm,-0.2,1.147666667,0.2
20cm,-0.15,1.579666667,0.2
20cm,-0.1,1.985,0.2
20cm,-0.05,2.504666667,0.2
20cm,0,3.005666667,0.2
20cm,0.05,2.815333333,0.2
20cm,0.1,2.321666667,0.2
20cm,0.15,1.615666667,0.2
20cm,0.2,1.437333333,0.2
20cm,0.25,1.237,0.2
20cm,0.3,1.015,0.2
20cm,0.35,0.317333333,0.2
20cm,0.4,0.345666667,0.2
20cm,0.45,0.144333333,0.2
20cm,0.5,0.11,0.2
50cm,-1,0.016,0.5
50cm,-0.9,0.028,0.5
50cm,-0.8,0.028,0.5
50cm,-0.7,0.084,0.5
50cm,-0.6,0.237,0.5
50cm,-0.5,0.673,0.5
50cm,-0.4,1.665,0.5
50cm,-0.3,3.062,0.5
50cm,-0.2,3.084,0.5
50cm,-0.1,3.082,0.5
50cm,0,3.084,0.5
50cm,0.1,3.083,0.5
50cm,0.2,3.079,0.5
50cm,0.3,3.07,0.5
50cm,0.4,3.042,0.5
50cm,0.5,1.443,0.5
50cm,0.6,0.545,0.5
50cm,0.7,0.186,0.5
50cm,0.8,0.056,0.5
50cm,0.9,0.036,0.5
50cm,1,0.014,0.5
1m,-1,0.018333333,1
1m,-0.9,0.043666667,1
1m,-0.8,0.132333333,1
1m,-0.7,0.315333333,1
1m,-0.6,0.657666667,1
1m,-0.5,1.127666667,1
1m,-0.4,1.854666667,1
1m,-0.3,2.972,1
1m,-0.2,3.042,1
1m,-0.1,3.052666667,1
1m,0,3.05,1
1m,0.1,3.05,1
1m,0.2,3.045,1
1m,0.3,3.040666667,1
1m,0.4,3.025666667,1
1m,0.5,2.845666667,1
1m,0.6,1.648333333,1
1m,0.7,0.829333333,1
1m,0.8,0.406666667,1
1m,0.9,0.181666667,1
1m,1,0.058333333,1
2m,-2,0.056333333,2
2m,-1.8,0.185333333,2
2m,-1.6,0.497333333,2
2m,-1.4,1.104,2
2m,-1.2,2.181,2
2m,-1,3.026666667,2
2m,-0.8,3.039666667,2
2m,-0.6,3.043,2
2m,-0.4,3.048333333,2
2m,-0.2,3.052666667,2
2m,0,3.053666667,2
2m,0.2,3.052333333,2
2m,0.4,3.049333333,2
2m,0.6,3.042666667,2
2m,0.8,3.032666667,2
2m,1,3.010333333,2
2m,1.2,2.035666667,2
2m,1.4,0.855333333,2
2m,1.6,0.345333333,2
2m,1.8,0.101333333,2
2m,2,0.021666667,2
5m,-4,0.077666667,5
5m,-3.6,0.167,5
5m,-3.2,0.363666667,5
5m,-2.8,0.723333333,5
5m,-2.4,1.281,5
5m,-2,2.139333333,5
5m,-1.6,3.011333333,5
5m,-1.2,3.048333333,5
5m,-0.8,3.056333333,5
5m,-0.4,3.060333333,5
5m,0,3.060666667,5
5m,0.4,3.060333333,5
5m,0.8,3.052,5
5m,1.2,3.001,5
5m,1.6,2.042,5
5m,2,1.203,5
5m,2.4,0.653,5
5m,2.8,0.332,5
5m,3.2,0.137666667,5
5m,3.6,0.054666667,5
5m,4,0.022,5
10m,-5,0.303666667,10
10m,-4.5,0.472333333,10
10m,-4,0.695,10
10m,-3.5,0.980666667,10
10m,-3,1.298666667,10
10m,-2.5,1.612666667,10
10m,-2,1.930666667,10
10m,-1.5,2.222333333,10
10m,-1,2.496666667,10
10m,-0.5,2.659666667,10
10m,0,2.751666667,10
10m,0.5,2.728333333,10
10m,1,2.624666667,10
10m,1.5,2.396,10
10m,2,2.128333333,10
10m,2.5,1.802666667,10
10m,3,1.497,10
10m,3.5,1.182666667,10
10m,4,0.905,10
10m,4.5,0.657333333,10
10m,5,0.467333333,10
15m,-6,0.333,15
15m,-5.4,0.434666667,15
15m,-4.8,0.517666667,15
15m,-4.2,0.626333333,15
15m,-3.6,0.742666667,15
15m,-3,0.832333333,15
15m,-2.4,0.928333333,15
15m,-1.8,1.02,15
15m,-1.2,1.083,15
15m,-0.6,1.108,15
15m,0,1.136,15
15m,0.6,1.107666667,15
15m,1.2,1.069,15
15m,1.8,1.001666667,15
15m,2.4,0.92,15
15m,3,0.820333333,15
15m,3.6,0.703333333,15
15m,4.2,0.605666667,15
15m,4.8,0.499,15
15m,5.4,0.404666667,15
15m,6,0.313,15