Experiment,Variable,Value,F1_mN,F2_mN,F3_mN,Favg_mN,T_mNcm,IL_A,IH_A,n_loops,d_cm,alpha_deg,sin_alpha
1-Torque_vs_IH,IH,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,3,11.98,90,1.000
1-Torque_vs_IH,IH,0.50,0.70,0.60,0.65,0.65,7.15,5.00,0.50,3,11.98,90,1.000
1-Torque_vs_IH,IH,1.00,1.10,1.10,1.10,1.10,12.10,5.00,1.00,3,11.98,90,1.000
1-Torque_vs_IH,IH,1.50,1.65,1.60,1.60,1.62,17.82,5.00,1.50,3,11.98,90,1.000
1-Torque_vs_IH,IH,2.00,2.20,2.20,2.15,2.18,23.98,5.00,2.00,3,11.98,90,1.000
1-Torque_vs_IH,IH,2.50,2.70,2.70,2.70,2.70,29.70,5.00,2.50,3,11.98,90,1.000
1-Torque_vs_IH,IH,2.82,3.05,3.10,3.05,3.07,33.77,5.00,2.82,3,11.98,90,1.000
2-Torque_vs_n,n,1,0.90,0.90,0.90,0.90,9.90,5.00,2.50,1,11.98,90,1.000
2-Torque_vs_n,n,2,1.80,1.80,1.80,1.80,19.80,5.00,2.50,2,11.98,90,1.000
2-Torque_vs_n,n,3,2.70,2.65,2.70,2.68,29.48,5.00,2.50,3,11.98,90,1.000
3-Torque_vs_angle,angle,0,0.20,0.25,0.20,0.22,2.42,5.00,2.50,3,11.98,0,0.000
3-Torque_vs_angle,angle,15,1.00,0.95,0.90,0.95,10.45,5.00,2.50,3,11.98,15,0.259
3-Torque_vs_angle,angle,30,1.55,1.60,1.50,1.55,17.05,5.00,2.50,3,11.98,30,0.500
3-Torque_vs_angle,angle,45,2.05,2.00,2.15,2.07,22.77,5.00,2.50,3,11.98,45,0.707
3-Torque_vs_angle,angle,60,2.50,2.45,2.45,2.47,27.17,5.00,2.50,3,11.98,60,0.866
3-Torque_vs_angle,angle,75,2.70,2.70,2.65,2.68,29.48,5.00,2.50,3,11.98,75,0.966
3-Torque_vs_angle,angle,90,2.70,2.70,2.70,2.70,29.70,5.00,2.50,3,11.98,90,1.000
4-Torque_vs_diameter,diameter,6.00,0.20,0.30,0.20,0.23,2.53,5.00,2.50,1,6.00,90,1.000
4-Torque_vs_diameter,diameter,8.47,0.50,0.50,0.50,0.50,5.50,5.00,2.50,1,8.47,90,1.000
4-Torque_vs_diameter,diameter,11.98,2.70,2.70,2.70,2.70,29.70,5.00,2.50,1,11.98,90,1.000
5-Torque_vs_IL,IL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,3,11.98,90,1.000
5-Torque_vs_IL,IL,1.00,0.60,0.60,0.60,0.60,6.60,1.00,2.50,3,11.98,90,1.000
5-Torque_vs_IL,IL,2.00,1.15,1.10,1.10,1.12,12.32,2.00,2.50,3,11.98,90,1.000
5-Torque_vs_IL,IL,3.00,1.70,1.70,1.70,1.70,18.70,3.00,2.50,3,11.98,90,1.000
5-Torque_vs_IL,IL,4.00,2.20,2.20,2.25,2.22,24.42,4.00,2.50,3,11.98,90,1.000
5-Torque_vs_IL,IL,5.00,2.70,2.65,2.70,2.68,29.48,5.00,2.50,3,11.98,90,1.000
6-Unknown_loop,star_loop,NA,0.85,0.85,0.85,0.85,9.35,5.00,2.50,1,unknown,90,1.000